# numberOfPages accessesPerSecond
1 96.26
11 94.16
21 92.00
31 92.14
41 91.89
51 91.76
61 91.68
71 91.60
81 91.52
91 91.44
101 85.82
111 75.55
121 71.61
131 67.21
141 61.81
151 58.35
161 55.09
171 52.45
181 50.30
191 48.38
201 47.03
211 45.84
221 44.84
231 43.90
241 43.47
251 42.87
261 42.26
271 41.88
281 41.29
291 41.01
301 40.66
311 40.29
321 40.03
331 39.83
341 39.55
351 39.43
361 39.27
371 39.12
381 38.96
391 38.83
401 38.73
411 38.45
421 38.34
431 38.20
441 38.09
451 37.98
461 37.87
471 37.78
481 37.87
491 37.83
501 37.80
511 37.62
521 37.36
531 37.07
541 36.94
551 36.86
561 36.70
571 36.50
581 36.43
591 36.47
601 36.33
611 36.28
621 36.24
631 36.22
641 36.26
651 36.13
661 35.98
671 35.93
681 35.80
691 35.76
701 35.67
711 35.67
721 35.63
731 35.63
741 35.60
751 35.55
761 35.58
771 35.50
781 35.39
791 35.26
801 35.25
811 35.23
821 35.12
831 34.95
841 35.03
851 35.09
861 35.09
871 35.09
881 35.06
891 34.73
901 35.02
911 34.98
921 34.86
931 34.86
941 34.84
951 34.79
961 34.72
971 34.74
981 34.69
991 34.70
